Composition,Al_pct,Co_pct,Cr_pct,Hf_pct,Mo_pct,Nb_pct,Si_pct,Ta_pct,Ti_pct,V_pct,W_pct,Zr_pct,Equilibrium_Conditions,Single_Multiphase,Type_Present_Phases,Tension_Compression,Density,Young_Modulus_ROM,Young_Modulus_Exp,Testing_Temp,Yield_Strength,Specific_Strength,Equilibrium_Conditions_encoded,Single_Multiphase_encoded,Type_Present_Phases_encoded,Tension_Compression_encoded
MoNbTaTi0.5W,0.0,0.0,0.0,0.0,22.22222222222222,22.22222222222222,0.0,22.22222222222222,11.11111111111111,0.0,22.22222222222222,0.0,AC,S,BCC,C,12.6,242.0,,25.0,1211.0,96.1,1,1,6,0
MoNbTaTi0.75W,0.0,0.0,0.0,0.0,21.05263157894737,21.05263157894737,0.0,21.05263157894737,15.789473684210526,0.0,21.05263157894737,0.0,AC,S,BCC,C,12.2,235.4,,25.0,1304.0,107.3,1,1,6,0
MoNbTaTiV,0.0,0.0,0.0,0.0,20.0,20.0,0.0,20.0,20.0,20.0,0.0,0.0,AC,S,BCC,C,9.4,172.8,130.5,25.0,1400.0,149.4,1,1,6,0
MoNbTaTiVW,0.0,0.0,0.0,0.0,16.666666666666668,16.666666666666668,0.0,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,0.0,AC,S,BCC,C,11.0,212.5,164.0,25.0,1515.0,138.1,1,1,6,0
MoNbTaTiW,0.0,0.0,0.0,0.0,20.0,20.0,0.0,20.0,20.0,0.0,20.0,0.0,AC,S,BCC,C,11.8,229.4,,25.0,1455.0,123.8,1,1,6,0
MoNbTaTiZr,0.0,0.0,0.0,0.0,20.0,20.0,0.0,20.0,20.0,0.0,0.0,20.0,AC,M,2 BCC,C,9.1,,153.0,25.0,1390.0,152.2,1,0,0,0
MoNbTaV,0.0,0.0,0.0,0.0,25.0,25.0,0.0,25.0,0.0,25.0,0.0,0.0,AC,S,BCC,C,10.7,187.0,,25.0,1525.0,142.7,1,1,6,0
MoNbTaVW,0.0,0.0,0.0,0.0,20.0,20.0,0.0,20.0,0.0,20.0,20.0,0.0,SPS,S,BCC,C,12.4,231.8,204.5,25.0,2612.0,211.0,5,1,6,0
MoNbTaW,0.0,0.0,0.0,0.0,25.0,25.0,0.0,25.0,0.0,0.0,25.0,0.0,HIP+A,S,BCC,C,13.7,257.8,220.0,25.0,1058.0,77.5,3,1,6,0
MoNbTiV,0.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,25.0,25.0,0.0,0.0,AC,S,BCC,C,7.3,169.5,161.1,25.0,1200.0,163.4,1,1,6,0
MoNbTiV0.25Zr,0.0,0.0,0.0,0.0,23.529411764705884,23.529411764705884,0.0,0.0,23.529411764705884,5.882352941176471,0.0,23.529411764705884,AC,S,BCC,C,7.3,152.9,141.6,25.0,1750.0,241.2,1,1,6,0
MoNbTiV0.3Zr,0.0,0.0,0.0,0.0,23.255813953488374,23.255813953488374,0.0,0.0,23.255813953488374,6.976744186046512,0.0,23.255813953488374,AC,S,BCC,C,7.2,152.7,,25.0,1455.0,200.8,1,1,6,0
